Provider,Year,Annual_Unlinked_Trips,Annual_Vehicle_Revenue_Miles,Annual_Vehicle_Revenue_Hours,Operating_Expenses,Fare_Revenue,OpEx_per_VRM,OpEx_per_VRH,OpEx_per_UPT,UPT_per_VRM,UPT_per_VRH,Fare_Revenue_per_UPT,Fare_Revenue_pct_OpEx,UPT_YoY_Pct_Change,VRM_YoY_Pct_Change,VRH_YoY_Pct_Change
Wests,2014,9063,128486,4688,319374,59773,2.4856715906791402,68.12585324232082,35.23932472691162,0.07053686782995813,1.9332337883959045,6.595277501930928,18.715675039295622,NA,NA,NA
Wests,2015,8087,206137,6122,468409,54443,2.2723188947156503,76.5124142437112,57.92123160628169,0.03923119090701815,1.3209735380594576,6.732162730307902,11.622961984078017,-10.769061017323182,60.4353781734975,30.58873720136519
Wests,2016,11164,206137,5930,528742,57314,2.5650028864298986,89.16391231028668,47.36134002149767,0.05415815695387048,1.8826306913996627,5.133823002508062,10.839691191545214,38.048720168171144,0,-3.136229990199281
Wests,2017,11889,221506,6870,402381,68915,1.8165693028631278,58.570742358078604,33.8448145344436,0.05367348965716504,1.7305676855895196,5.796534611826058,17.126802706887254,6.494088140451451,7.455721195127513,15.851602023608768
Wests,2018,8319,135200,6672,205422,6113,1.5193934911242604,30.788669064748202,24.693112152902994,0.06153106508875739,1.2468525179856116,0.7348238971030172,2.975825374107934,-30.02775674993692,-38.963278647079534,-2.8820960698689957
Wests,2019,8097,83171,3660,195597,5324,2.3517451996489163,53.441803278688525,24.156724712856615,0.09735364490026571,2.212295081967213,0.6575274793133259,2.7219231378804376,-2.6685899747565816,-38.48298816568047,-45.143884892086334
Wests,2020,6723,70708,3300,174755,4185,2.4715025173954857,52.9560606060606,25.99360404581288,0.09508117893307688,2.037272727272727,0.6224899598393574,2.3947812651998515,-16.969247869581327,-14.984790371643964,-9.836065573770492
Wests,2021,4037,69196,3170,158150,3443,2.2855367362275274,49.889589905362776,39.175130047064656,0.05834152263136597,1.2735015772870661,0.8528610354223434,2.177047107176731,-39.952402201398186,-2.138371895683657,-3.939393939393939
Wests,2022,4719,73137,3331,168492,4861,2.3037860453669143,50.58300810567397,35.705022250476794,0.0645227449854383,1.4166916841789252,1.030091121000212,2.885003442299931,16.893732970027248,5.6954159199953756,5.078864353312302
Wests,2023,5025,74440,3356,188346,0,2.530171950564213,56.12216924910608,37.481791044776116,0.06750403009134874,1.4973182359952324,0,0,6.484424666242848,1.781587978724859,0.7505253677574302
WMTS,2014,269629,575159,45995,258814,45502,0.4499868731950643,5.6270029351016415,0.9598893294118956,0.46879036927180134,5.862137188824872,0.16875781165972503,17.5809654810018,NA,NA,NA
WMTS,2015,277489,540940,45754,2628042,41216,4.858287425592487,57.43851903658697,9.470797040603411,0.5129755610603763,6.064803077326572,0.14853201388163134,1.56831587927438,2.915116697387892,-5.949485272768052,-0.523969996738776
WMTS,2016,232913,488089,45111,2498000,37097,5.1179190680388205,55.3745206268981,10.725034669597662,0.4771937085244699,5.163108776129991,0.1592740637061907,1.4850680544435548,-16.06406019698078,-9.770214811254482,-1.405341609476767
WMTS,2017,213144,431970,38497,2241737,49752,5.189566405074427,58.23147258227914,10.517476447847464,0.4934231543857212,5.536639218640413,0.23341965994820404,2.219350441198053,-8.48771859020321,-11.497698165703387,-14.661612467025781
WMTS,2018,214460,420652,36570,2137205,326400,5.08069615739376,58.44148208914411,9.965518045323137,0.5098276009623156,5.864369701941482,1.5219621374615313,15.272283192300224,0.6174229628795557,-2.6200893580572724,-5.005584850767592
WMTS,2019,233472,527596,45880,2562967,367095,4.857821135869112,55.86240191804708,10.977620442708334,0.44252041334657577,5.08875326939843,1.5723298725328947,14.32304824837776,8.865056420777767,25.423390355923665,25.458025704129067
WMTS,2020,155438,400768,29553,2440290,591525,6.089034054615139,82.57334280783677,15.699442864679165,0.3878503273714468,5.2596352316177715,3.8055366126687167,24.23994689155797,-33.423279879385966,-24.038847906352586,-35.586312118570184
WMTS,2021,96351,429422,32665,2946535,141714,6.861630284428837,90.20465329863768,30.581260184118484,0.22437369301060495,2.949670901576611,1.4708098514805243,4.809513547268232,-38.01322713879489,7.149772436921112,10.530233817209758
